iter	Passed	Remaining
1160	20298	154540
1161	20315	154513
1162	20331	154489
1163	20348	154464
1164	20364	154439
1165	20381	154416
1166	20398	154396
1167	20415	154371
1168	20432	154349
1169	20448	154326
1170	20465	154307
1171	20482	154280
1172	20499	154260
1173	20516	154238
1174	20534	154228
1175	20551	154208
1176	20569	154191
1177	20586	154171
1178	20603	154148
1179	20619	154121
1180	20635	154097
1181	20651	154067
1182	20667	154038
1183	20684	154013
1184	20700	153986
1185	20717	153962
1186	20733	153938
1187	20750	153913
1188	20766	153890
1189	20783	153864
1190	20799	153840
1191	20815	153813
1192	20832	153788
1193	20848	153764
1194	20864	153732
1195	20880	153707
1196	20897	153686
1197	20913	153659
1198	20930	153634
1199	20946	153609
1200	20963	153588
1201	20980	153567
1202	20997	153542
1203	21013	153515
1204	21029	153488
1205	21047	153472
1206	21063	153445
1207	21079	153419
1208	21096	153399
1209	21113	153377
1210	21131	153362
1211	21148	153347
1212	21165	153321
1213	21181	153297
1214	21198	153276
1215	21214	153249
1216	21231	153224
1217	21247	153200
1218	21264	153177
1219	21281	153160
1220	21298	153135
1221	21314	153111
1222	21331	153086
1223	21348	153064
1224	21364	153037
1225	21380	153013
1226	21397	152989
1227	21413	152963
1228	21430	152940
1229	21446	152915
1230	21462	152888
1231	21479	152864
1232	21495	152837
1233	21511	152811
1234	21528	152787
1235	21545	152767
1236	21561	152741
1237	21577	152717
1238	21594	152694
1239	21610	152671
1240	21627	152649
1241	21646	152638
1242	21662	152613
1243	21679	152590
1244	21695	152566
1245	21712	152541
1246	21728	152518
1247	21745	152494
1248	21761	152468
1249	21778	152447
1250	21794	152424
1251	21810	152398
1252	21827	152377
1253	21844	152352
1254	21860	152328
1255	21877	152309
1256	21894	152288
1257	21911	152265
1258	21928	152245
1259	21945	152225
1260	21962	152203
1261	21979	152185
1262	21997	152170
1263	22013	152143
1264	22030	152126
1265	22047	152103
1266	22064	152080
1267	22080	152058
1268	22098	152042
1269	22115	152022
1270	22134	152015
1271	22151	151992
1272	22168	151973
1273	22185	151952
1274	22202	151936
1275	22221	151931
1276	22241	151930
1277	22259	151913
1278	22277	151904
1279	22295	151887
1280	22312	151865
1281	22327	151837
1282	22344	151814
1283	22360	151790
1284	22379	151782
1285	22396	151761
1286	22414	151744
1287	22435	151750
1288	22452	151731
1289	22469	151715
1290	22489	151713
1291	22506	151692
1292	22527	151698
1293	22544	151677
1294	22560	151651
1295	22581	151661
1296	22599	151641
1297	22616	151626
1298	22633	151602
1299	22649	151577
1300	22666	151555
1301	22682	151528
1302	22699	151508
1303	22716	151491
1304	22736	151490
1305	22752	151465
1306	22771	151456
1307	22789	151441
1308	22806	151419
1309	22825	151415
1310	22843	151398
1311	22859	151373
1312	22880	151381
1313	22898	151364
1314	22916	151353
1315	22934	151337
1316	22951	151316
1317	22969	151303
1318	22988	151301
1319	23005	151276
1320	23024	151268
1321	23042	151255
1322	23059	151234
1323	23079	151235
1324	23095	151213
1325	23114	151202
1326	23134	151204
1327	23152	151189
1328	23171	151178
1329	23189	151165
1330	23206	151146
1331	23225	151137
1332	23241	151111
